"Participant ID"	"Broker No."	"Participant Name"	"Participant Name in Chinese"	"Trading Status"	"Address 1"	"Address 2"	"Address 3"	"Address 4"	"Address in Chinese"	"Telephone No."	"Fax No."	"Website Address"	"Stock Options Participantship"	"HKSCC Participantship"	"SEOCH Participantship"	"Other Business Address(es) 1"	"Other Business Address(es) 2"	"Other Business Address(es) 3"	"Other Business Address(es) 4"
"01077"	"2845, 2849, 4168, 9786, 9787"	"Macquarie Capital Limited"	"麥格理資本股份有限公司"	"Trading"	"Levels 22 and 23"	"One International Finance Centre"	"1 Harbour View Street, Central, Hong Kong"	""	"香港中環港景街1號國際金融中心1期22-23樓"	"3922 1888"	"3922 3748"	"www.macquarie.com"	"OTEP"	"NCP"	"DCP"	""	""	""	""
"01078"	"6409"	"Standard Chartered Securities (Hong Kong) Limited"	"渣打證券(香港)有限公司"	"Trading"	"15/F Two International Finance Centre"	"8 Finance Street"	"Central, Hong Kong"	""	"香港中環金融街8號國際金融中心二期15樓"	"38432196"	""	""	""	"DCP"	""	""	""	""	""
"01080"	"2220, 2221, 2222, 2225, 2227, 2228, 2229"	"VMS Securities Limited"	"鼎珮證券有限公司"	"Trading"	"28/F, Viva Place"	"36 Heung Yip Road, Wong Chuk Hang, Hong Kong"	"Hong Kong"	""	"香港黃竹坑香葉道36號偉華匯28樓"	"29962100"	"29962101"	""	""	"DCP"	""	""	""	""	""
"01086"	"1380, 1381, 1382, 1385, 1387, 1388, 1389, 5510, 5511, 5512, 5513, 5515, 5516, 5517, 5518, 5519, 5520, 5521, 5522, 5523, 5524, 5525, 5526, 5527, 5528, 5529, 5530, 5531, 5538, 5539"	"Everbright Securities Investment Services (HK) Limited"	"光大證券投資服務（香港）有限公司"	"Trading"	"28/F Lee Garden One"	"33 Hysan Avenue"	"Causeway Bay, Hong Kong"	""	"香港銅鑼灣希慎道33號利園一期28樓"	"39202888"	"39202789"	"www.ebshkfg.com"	"OTEP"	"DCP"	"DCP"	"10/F"	"Everbright Centre, 108 Gloucester Road"	"Wanchai, Hong Kong"	""
"01086"	"1380, 1381, 1382, 1385, 1387, 1388, 1389, 5510, 5511, 5512, 5513, 5515, 5516, 5517, 5518, 5519, 5520, 5521, 5522, 5523, 5524, 5525, 5526, 5527, 5528, 5529, 5530, 5531, 5538, 5539"	"Everbright Securities Investment Services (HK) Limited"	"光大證券投資服務（香港）有限公司"	"Trading"	"28/F Lee Garden One"	"33 Hysan Avenue"	"Causeway Bay, Hong Kong"	""	"香港銅鑼灣希慎道33號利園一期28樓"	"39202888"	"39202789"	"www.ebshkfg.com"	"OTEP"	"DCP"	"DCP"	"12/F, Everbright Centre"	"108 Gloucester Road"	"Wanchai, Hong Kong"	""
"01086"	"1380, 1381, 1382, 1385, 1387, 1388, 1389, 5510, 5511, 5512, 5513, 5515, 5516, 5517, 5518, 5519, 5520, 5521, 5522, 5523, 5524, 5525, 5526, 5527, 5528, 5529, 5530, 5531, 5538, 5539"	"Everbright Securities Investment Services (HK) Limited"	"光大證券投資服務（香港）有限公司"	"Trading"	"28/F Lee Garden One"	"33 Hysan Avenue"	"Causeway Bay, Hong Kong"	""	"香港銅鑼灣希慎道33號利園一期28樓"	"39202888"	"39202789"	"www.ebshkfg.com"	"OTEP"	"DCP"	"DCP"	"19/F & 21/F Lee Garden Five"	"18 Hysan Avenue"	"Causeway Bay, Hong Kong"	""
"01086"	"1380, 1381, 1382, 1385, 1387, 1388, 1389, 5510, 5511, 5512, 5513, 5515, 5516, 5517, 5518, 5519, 5520, 5521, 5522, 5523, 5524, 5525, 5526, 5527, 5528, 5529, 5530, 5531, 5538, 5539"	"Everbright Securities Investment Services (HK) Limited"	"光大證券投資服務（香港）有限公司"	"Trading"	"28/F Lee Garden One"	"33 Hysan Avenue"	"Causeway Bay, Hong Kong"	""	"香港銅鑼灣希慎道33號利園一期28樓"	"39202888"	"39202789"	"www.ebshkfg.com"	"OTEP"	"DCP"	"DCP"	"27/F"	"Lee Garden One, 33 Hysan Avenue"	"Causeway Bay, Hong Kong"	""
"01086"	"1380, 1381, 1382, 1385, 1387, 1388, 1389, 5510, 5511, 5512, 5513, 5515, 5516, 5517, 5518, 5519, 5520, 5521, 5522, 5523, 5524, 5525, 5526, 5527, 5528, 5529, 5530, 5531, 5538, 5539"	"Everbright Securities Investment Services (HK) Limited"	"光大證券投資服務（香港）有限公司"	"Trading"	"28/F Lee Garden One"	"33 Hysan Avenue"	"Causeway Bay, Hong Kong"	""	"香港銅鑼灣希慎道33號利園一期28樓"	"39202888"	"39202789"	"www.ebshkfg.com"	"OTEP"	"DCP"	"DCP"	"28/F"	"Lee Garden One, 33 Hysan Avenue"	"Causeway Bay, Hong Kong"	""
"01086"	"1380, 1381, 1382, 1385, 1387, 1388, 1389, 5510, 5511, 5512, 5513, 5515, 5516, 5517, 5518, 5519, 5520, 5521, 5522, 5523, 5524, 5525, 5526, 5527, 5528, 5529, 5530, 5531, 5538, 5539"	"Everbright Securities Investment Services (HK) Limited"	"光大證券投資服務（香港）有限公司"	"Trading"	"28/F Lee Garden One"	"33 Hysan Avenue"	"Causeway Bay, Hong Kong"	""	"香港銅鑼灣希慎道33號利園一期28樓"	"39202888"	"39202789"	"www.ebshkfg.com"	"OTEP"	"DCP"	"DCP"	"31/F"	"Everbright Centre, 108 Gloucester Road"	"Wanchai, Hong Kong"	""
"01086"	"1380, 1381, 1382, 1385, 1387, 1388, 1389, 5510, 5511, 5512, 5513, 5515, 5516, 5517, 5518, 5519, 5520, 5521, 5522, 5523, 5524, 5525, 5526, 5527, 5528, 5529, 5530, 5531, 5538, 5539"	"Everbright Securities Investment Services (HK) Limited"	"光大證券投資服務（香港）有限公司"	"Trading"	"28/F Lee Garden One"	"33 Hysan Avenue"	"Causeway Bay, Hong Kong"	""	"香港銅鑼灣希慎道33號利園一期28樓"	"39202888"	"39202789"	"www.ebshkfg.com"	"OTEP"	"DCP"	"DCP"	"33/F"	"Everbright Centre, 108 Gloucester Road"	"Wanchai, Hong Kong"	""
