instrument_key,southbound_eligible,as_of_date,source_label
00001,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00002,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00003,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00004,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00005,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00006,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00008,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00010,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00012,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00013,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00014,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00016,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00017,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00019,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00020,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00023,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00027,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00038,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00041,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00066,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00081,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00083,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00087,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00101,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00107,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00119,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00123,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00135,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00136,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00142,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00144,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00148,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00151,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00152,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00165,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00168,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00173,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00175,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00177,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00179,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00187,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00189,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00200,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00220,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00241,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00257,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00267,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00268,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00270,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00285,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00288,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00290,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00291,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00293,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00297,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00300,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00303,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00308,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00316,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00317,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00322,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00323,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00325,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00336,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00338,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00345,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00347,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00354,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00358,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00363,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00371,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00384,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00386,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00388,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00390,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00392,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00425,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00440,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00460,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00467,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00470,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00501,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00506,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00512,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00522,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00525,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00546,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00548,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00551,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00552,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00553,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00564,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00568,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00570,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00576,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00586,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00588,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00590,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00598,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00604,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00631,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00636,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00638,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00639,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00656,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00659,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00666,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00667,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00669,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00670,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00683,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00688,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00696,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00697,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00699,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00700,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00719,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00728,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00751,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00753,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00754,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00762,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00763,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00772,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00780,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00788,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00811,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00817,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00819,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00826,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00836,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00839,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00853,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00855,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00856,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00857,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00867,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00868,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00874,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00880,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00881,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00883,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00895,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
