instrument_key,listing_date,float_mktcap_hkd,southbound_eligible,instrument_family,instrument_family_source,instrument_family_note,as_of_date,source_label
00001,1972-11-01,,,,,,2026-04-07,tushare_hk_basic
00002,1980-01-02,,,,,,2026-04-07,tushare_hk_basic
00003,1960-04-11,,,,,,2026-04-07,tushare_hk_basic
00004,1921-01-01,,,,,,2026-04-07,tushare_hk_basic
00005,1980-01-02,,,,,,2026-04-07,tushare_hk_basic
00006,1976-08-16,,,,,,2026-04-07,tushare_hk_basic
00007,2000-09-08,,,,,,2026-04-07,tushare_hk_basic
00008,1994-10-18,,,,,,2026-04-07,tushare_hk_basic
00010,1972-10-12,,,,,,2026-04-07,tushare_hk_basic
00012,1981-07-23,,,,,,2026-04-07,tushare_hk_basic
00013,2021-06-30,,,,,,2026-04-07,tushare_hk_basic
00014,1981-09-18,,,,,,2026-04-07,tushare_hk_basic
00016,1972-09-08,,,,,,2026-04-07,tushare_hk_basic
00017,1972-11-23,,,,,,2026-04-07,tushare_hk_basic
00018,1987-08-18,,,,,,2026-04-07,tushare_hk_basic
00019,1959-04-14,,,,,,2026-04-07,tushare_hk_basic
00020,2021-12-30,,,,,,2026-04-07,tushare_hk_basic
00021,1954-03-01,,,,,,2026-04-07,tushare_hk_basic
00022,1972-12-14,,,,,,2026-04-07,tushare_hk_basic
00023,1921-01-01,,,,,,2026-04-07,tushare_hk_basic
00025,1984-12-05,,,,,,2026-04-07,tushare_hk_basic
00026,1962-01-01,,,,,,2026-04-07,tushare_hk_basic
00027,1991-10-07,,,,,,2026-04-07,tushare_hk_basic
00028,1987-03-18,,,,,,2026-04-07,tushare_hk_basic
00029,1980-01-04,,,,,,2026-04-07,tushare_hk_basic
00030,1991-10-09,,,,,,2026-04-07,tushare_hk_basic
00031,1981-08-25,,,,,,2026-04-07,tushare_hk_basic
00032,1974-07-30,,,,,,2026-04-07,tushare_hk_basic
00033,2007-11-19,,,,,,2026-04-07,tushare_hk_basic
00034,1995-07-04,,,,,,2026-04-07,tushare_hk_basic
00035,1972-09-21,,,,,,2026-04-07,tushare_hk_basic
00036,1973-02-12,,,,,,2026-04-07,tushare_hk_basic
00037,1979-07-03,,,,,,2026-04-07,tushare_hk_basic
00038,1997-06-23,,,,,,2026-04-07,tushare_hk_basic
00039,2001-01-16,,,,,,2026-04-07,tushare_hk_basic
00040,1984-07-02,,,,,,2026-04-07,tushare_hk_basic
00041,1972-10-26,,,,,,2026-04-07,tushare_hk_basic
00042,1995-07-06,,,,,,2026-04-07,tushare_hk_basic
00045,1921-01-01,,,,,,2026-04-07,tushare_hk_basic
00046,1998-05-18,,,,,,2026-04-07,tushare_hk_basic
00048,2014-08-25,,,,,,2026-04-07,tushare_hk_basic
00050,1921-01-01,,,,,,2026-04-07,tushare_hk_basic
00051,1971-02-15,,,,,,2026-04-07,tushare_hk_basic
00052,1991-10-09,,,,,,2026-04-07,tushare_hk_basic
00053,1983-05-03,,,,,,2026-04-07,tushare_hk_basic
00055,1992-09-10,,,,,,2026-04-07,tushare_hk_basic
00057,1991-10-22,,,,,,2026-04-07,tushare_hk_basic
00058,1999-09-03,,,,,,2026-04-07,tushare_hk_basic
00059,1993-11-16,,,,,,2026-04-07,tushare_hk_basic
00060,1992-12-16,,,,,,2026-04-07,tushare_hk_basic
00061,1999-07-06,,,,,,2026-04-07,tushare_hk_basic
00062,1961-05-01,,,,,,2026-04-07,tushare_hk_basic
00063,1986-02-26,,,,,,2026-04-07,tushare_hk_basic
00064,2002-06-06,,,,,,2026-04-07,tushare_hk_basic
00065,2009-06-22,,,,,,2026-04-07,tushare_hk_basic
00066,2000-10-05,,,,,,2026-04-07,tushare_hk_basic
00069,1993-06-17,,,,,,2026-04-07,tushare_hk_basic
